dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.44015444015444016,1.3493854999542236,3.4853687286376953,ok,,1035,776,259,259,,0,2e-06,False,0.7848870754241943,stratified,stratified split | TTT training skipped because n_classes=11 exceeds model max_classes=10
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9884429768859537,247.57763123512268,19.055443286895752,ok,,31492,23619,7873,7874,0.02826514281332493,30,2e-06,True,247.29999566078186,stratified,stratified split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8755,20.88235306739807,2.3033535480499268,ok,,8000,6000,2000,2000,0.3213914930820465,30,2e-06,True,20.79210591316223,stratified,stratified split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7345,745.6408109664917,53.45137023925781,ok,,56000,42000,14000,14000,0.5579550266265869,30,2e-06,True,745.0927755832672,stratified,stratified split
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,3.1939258575439453,0.5924677848815918,ok,,1792,1344,448,448,0.15170776844024658,30,2e-06,True,3.131439447402954,stratified,stratified split
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.849624060150376,6.522177219390869,0.8460335731506348,ok,,3722,2791,931,931,0.4332517087459564,30,2e-06,True,6.475440502166748,stratified,stratified split
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7145464917284655,303.1797523498535,23.13284969329834,ok,,35060,26295,8765,8765,0.5456400513648987,30,2e-06,True,302.86856341362,stratified,stratified split
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7094124358243012,302.68548011779785,23.035955667495728,ok,,35060,26295,8765,8765,0.6908226609230042,30,2e-06,True,302.404301404953,stratified,stratified split
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7166212534059946,2.057541847229004,0.3674805164337158,ok,,1467,1100,367,367,0.690455436706543,30,2e-06,True,2.0287129878997803,stratified,stratified split
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7933333333333333,1.6658966541290283,0.19067955017089844,ok,,1200,900,300,300,0.4368993043899536,30,2e-06,True,1.6402394771575928,stratified,stratified split
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6105263157894737,6.8612329959869385,0.9676313400268555,ok,,3796,2847,949,950,0.7649264931678772,30,2e-06,True,6.810585021972656,stratified,stratified split
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8639455782312925,2.096085786819458,0.39252233505249023,ok,,1176,882,294,294,0.08386235684156418,30,2e-06,True,2.0288846492767334,stratified,stratified split
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,21.19951105117798,2.4649081230163574,ok,,7968,5976,1992,1993,0.00011099289258709177,30,2e-06,True,21.095534324645996,stratified,stratified split
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8845951629863302,62.72492861747742,5.869607448577881,ok,,15216,11412,3804,3804,0.28647273778915405,30,2e-06,True,62.59050703048706,stratified,stratified split
