dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
eye_movements_bin,up,0.6675427069645203,0.6997371879106439,0.03219448094612354,20,20,0,7608,4868,1218,1522,binclass,,20,20,2,2,True,8,8,0.6994744776209041,0.788536419850083
pc4,up,0.9006849315068494,0.9178082191780822,0.017123287671232834,37,37,0,1458,932,234,292,binclass,,37,37,2,2,True,8,8,0.9089823284617914,0.9559461805555556
compass,up,0.8347852207870231,0.8510063082006608,0.016221087413637703,17,8,9,16644,10652,2663,3329,binclass,,17,17,2,2,True,8,8,0.8509796834931856,0.9201766068953569
one-hundred-plants-margin,up,0.896875,0.9125,0.015625,64,64,0,1600,1024,256,320,multiclass,,64,64,100,100,False,0,0,0.9105977182539682,0.9989899373078306
Basketball_c,up,0.6977611940298507,0.7126865671641791,0.014925373134328401,11,11,0,1340,857,215,268,binclass,2,11,11,2,2,True,8,8,0.7118289151258632,0.7386605244507441
wine-quality-red,up,0.5875,0.6,0.012499999999999956,4,4,0,1599,1023,256,320,multiclass,,4,4,6,6,True,8,8,0.576452759806493,0.7401214982667579
mfeat-zernike,up,0.8325,0.845,0.012499999999999956,47,47,0,2000,1280,320,400,multiclass,,47,47,10,10,True,8,8,0.8407918821386248,0.9847708333333334
wine,up,0.7455968688845401,0.7573385518590998,0.011741682974559686,4,4,0,2554,1634,409,511,binclass,,4,4,2,2,True,8,8,0.7553998526987437,0.8276654411764707
jungle_chess_2pcs_raw_endgame_complete,up,0.8685854529228023,0.8787371709058456,0.010151717983043262,6,6,0,44819,28684,7171,8964,multiclass,,6,6,3,3,True,8,16,0.878049959544744,0.9828086821665604
sports_articles_for_objectivity_analysis,up,0.845,0.855,0.010000000000000009,59,57,2,1000,640,160,200,binclass,2,59,59,2,2,True,8,8,0.8527182148705282,0.8990400172581168
one-hundred-plants-texture,up,0.9125,0.921875,0.009375000000000022,64,64,0,1599,1023,256,320,multiclass,,64,64,100,100,False,0,0,0.9202529761904762,0.9990741591129922
waveform_database_generator,up,0.335,0.344,0.008999999999999952,21,21,0,4999,3199,800,1000,multiclass,3,21,21,3,3,True,8,8,0.1995403250025025,0.5207213278602896
hill-valley,up,0.9506172839506172,0.9588477366255144,0.008230452674897193,100,100,0,1212,775,194,243,binclass,,100,100,2,2,True,8,8,0.9588463427675218,0.9867226663053787
ASP-POTASSCO-classification,up,0.4555984555984556,0.4633204633204633,0.007722007722007707,141,140,1,1294,828,207,259,multiclass,,141,141,11,11,False,0,0,0.4421988532949065,0.8460565442224908
baseball,up,0.9402985074626866,0.9477611940298508,0.007462686567164201,16,15,1,1340,857,215,268,multiclass,,16,16,3,3,True,8,8,0.9393659426428472,0.9671640425206428
IBM_HR_Analytics_Employee_Attrition_and_Performance,up,0.8673469387755102,0.8741496598639455,0.006802721088435382,31,25,6,1470,940,236,294,binclass,2,31,31,2,2,True,8,8,0.8543817627578802,0.851063829787234
Customer_Personality_Analysis,up,0.890625,0.8973214285714286,0.006696428571428603,24,22,2,2240,1433,359,448,binclass,2,24,24,2,2,True,8,8,0.8844566891441892,0.9021428291612804
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,up,0.68125,0.6875,0.006249999999999978,20,0,20,1600,1024,256,320,binclass,,20,20,2,2,True,8,8,0.6834942237695838,0.74740234375
Pumpkin_Seeds,up,0.882,0.888,0.006000000000000005,12,12,0,2500,1600,400,500,binclass,2,12,12,2,2,True,8,8,0.8878651144118828,0.9458253205128204
